	Amphimedon_pep.fa_ed	Bombyx_pep.fa_ed	Caenorhabditis_ed	Capitella_pep.fa_ed	Ciona_pep.fa_ed	Crassostrea_pep.fa_ed	Danio_pep.fa_ed	Daphnia.fa_ed	Drosophila_pep.fa_ed	Helobdella_pep.fa_ed	Homo_pep2.fa_ed	Lingula_pep2.fa_ed	Lottia.fa_ed	Lottia_pep.fa_ed	Mnemiopsis_leidyi.prot.fa_ed	Monosiga_pep2.fa_ed	Mus.fa_ed	Mya_pep.fa_ed	Nasonia_pep.fa_ed	Nematostella_pep.fa_ed	Octopus_pep.fa_ed	Pelodiscus_pep.fa_ed	Petromyzon_pep.fa_ed	Priapulus	Rhodnius_pep.fa_ed	Saccoglossus_kowalevskii.prot.fa_ed	Salpingoeca_pep2.fa_ed	Stegodyphus_pep.fa_ed	Strongylocentrotus_pep.fa_ed	Tribolium_pep.fa_ed	Trichoplax_pep.fa_ed	hydra_pep2.fa_ed	Total
OG0000084	33	5	1	18	0	0	1	13	2	16	12	0	5	7	1	3	7	8	1	3	15	61	15	13	3	4	6	71	2	3	2	50	381
OG0000085	2	8	5	12	11	12	28	12	6	16	28	14	11	24	3	0	24	14	7	20	15	21	9	13	6	13	0	15	11	9	2	10	381
OG0000086	32	4	3	19	12	11	21	12	6	10	25	30	16	9	1	0	9	12	6	8	25	8	6	14	2	19	0	6	23	6	5	17	377
OG0000087	4	5	19	8	15	5	37	10	6	12	39	6	6	41	2	1	41	7	3	5	13	21	18	9	5	6	1	7	8	5	4	7	376
OG0000088	9	0	4	14	12	17	15	2	2	8	31	22	16	22	8	14	22	15	2	14	9	15	6	14	2	13	17	7	14	2	12	16	376
OG0000089	5	20	6	9	11	8	10	11	19	8	5	19	22	7	1	1	7	12	26	14	34	6	2	17	18	9	1	15	18	24	3	6	374
OG0000090	1	8	31	9	1	16	9	26	22	4	16	33	23	12	3	2	12	16	11	5	29	4	0	15	9	3	2	17	0	23	1	11	374
OG0000091	0	4	1	16	6	14	31	10	9	15	15	20	21	11	2	0	11	32	3	9	12	20	12	21	1	22	0	24	21	3	3	5	374
OG0000092	3	5	5	11	7	11	36	9	7	8	31	16	10	27	8	0	27	10	7	6	11	22	12	5	6	23	0	14	11	9	5	9	371
OG0000093	61	0	0	22	1	16	9	21	1	1	0	35	18	0	0	0	0	6	15	12	4	0	0	30	0	37	0	7	6	3	2	57	364
OG0000094	2	25	10	8	2	15	6	17	22	18	13	8	14	17	3	0	17	20	19	14	10	5	1	8	29	2	0	20	13	23	1	2	364
OG0000095	4	19	12	9	9	30	6	47	9	1	21	11	19	6	3	1	6	27	8	5	16	6	3	16	12	5	0	30	6	9	2	5	363
OG0000096	10	6	6	14	6	9	22	5	6	65	15	8	11	15	9	10	15	18	5	8	10	8	6	13	4	10	6	5	9	8	6	13	361
OG0000097	4	6	10	5	7	6	33	4	12	14	58	8	6	34	5	1	34	9	4	9	7	16	11	6	5	6	2	8	10	6	4	6	356
OG0000098	0	7	1	8	2	11	45	41	7	4	13	19	17	16	2	0	16	13	3	34	5	19	10	1	4	4	0	7	13	3	16	15	356
OG0000099	1	1	15	3	9	4	36	3	3	13	66	4	6	42	1	0	42	7	1	3	15	23	26	8	1	2	2	2	5	1	1	2	348
OG0000100	29	3	0	49	6	16	20	3	4	14	27	5	12	5	1	0	5	5	7	6	10	6	1	22	2	2	0	28	2	7	0	50	347
OG0000101	3	7	7	11	8	6	35	4	29	11	42	10	8	34	3	2	34	8	2	5	8	11	6	5	3	9	2	8	4	14	2	6	347
OG0000102	13	16	1	2	1	3	6	8	70	5	2	6	5	3	7	0	3	4	5	27	6	2	5	8	9	4	7	87	8	6	12	5	346
OG0000103	21	5	1	30	6	9	5	1	4	0	4	20	12	3	22	7	3	15	5	12	3	3	2	9	8	74	6	12	27	6	0	9	344
OG0000104	0	8	2	55	13	18	9	6	19	10	6	15	12	5	0	0	5	13	12	5	9	3	7	10	21	16	0	12	25	17	0	6	339
OG0000105	21	0	0	11	0	9	0	23	0	5	0	23	13	0	2	0	0	11	13	29	22	0	0	25	1	66	0	0	5	0	0	59	338
OG0000106	7	22	15	21	7	6	10	27	20	12	17	18	4	10	9	0	10	4	11	8	7	9	1	11	5	18	0	5	26	11	0	7	338
OG0000107	49	1	2	9	1	0	2	8	0	30	0	3	2	0	2	0	0	0	0	9	103	0	0	1	2	8	0	50	12	2	0	41	337
OG0000108	0	3	0	6	3	38	0	72	0	33	0	15	6	0	13	0	0	37	3	0	34	0	0	10	1	27	0	4	11	4	0	17	337
OG0000109	3	3	9	10	6	11	33	3	3	14	34	15	10	30	6	4	30	8	2	10	9	14	7	6	3	10	6	6	10	3	5	11	334
OG0000110	10	2	41	15	9	10	3	11	1	8	8	8	11	8	2	2	8	13	8	6	29	5	1	7	7	26	4	2	28	7	21	11	332
OG0000111	0	21	0	6	3	15	13	23	23	3	21	8	23	10	0	0	11	8	21	6	4	11	5	4	8	9	0	25	27	16	5	3	332
OG0000112	4	37	0	7	6	2	6	15	22	3	9	9	2	9	0	3	9	10	19	1	4	5	6	2	38	24	2	38	1	34	0	2	329
OG0000113	0	3	0	11	0	1	0	0	0	67	0	16	0	0	11	0	0	0	17	17	129	3	1	1	6	2	0	3	41	0	0	0	329
OG0000114	43	3	3	28	3	3	4	4	5	6	5	22	6	5	1	0	5	15	2	15	8	1	6	13	3	30	0	6	24	5	51	2	327
OG0000115	6	7	12	14	7	14	9	6	9	14	18	11	17	12	12	6	12	10	6	10	10	10	10	13	6	12	7	10	13	7	9	8	327
